sentiment,content
sadness,bLayin n bed with a headache  ughhhhwaitin on your call
sadness,bFuneral ceremonygloomy friday
enthusiasm,bwants to hang out with friends SOON
neutral,b We want to trade with someone who has Houston tickets but no one will
worry,bRepinging  why didnt you go to prom BC my bf didnt like my friends
sadness,bI should be sleep but im not thinking about an old friend who I want but hes married now damn amp he wants me  scandalous
worry,bHmmm  is down
sadness,b Charlene my love I miss you
sadness,b Im sorry  at least its Friday
neutral,bcant fall asleep
worry,bChoked on her retainers
sadness,bUgh I have to beat this stupid song to get to the next  rude
sadness,b if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,bGot the news
sadness,bThe storm is here and the electricity is gone
love,b agreed
sadness,bSo sleepy again and its not even that late I fail once again
worry,b lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,bHow are YOU convinced that I have always wanted you What signals did I give offdamn I think I just lost another friend
worry,b oh too bad I hope it gets better Ive been having sleep issues lately too
fun,bWondering why Im awake at amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore
neutral,bNo Topic Maps talks at the Balisage Markup Conference    Program online at  via  topicmaps
worry,bI ate Something I dont know what it is Why do I keep Telling things about food
sadness,bso tired and i think im definitely going to get an ear infection  going to bed quotearlyquot for once
worry,bOn my way home n having  deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old
sadness,b  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
worry,bDamm servers still down  i need to hit  before all the koxpers pass me
sadness,bFudge Just BSd that whole paper So tired Ugh I hate school  time to sleep
worry,bI HATE CANCER I HATE IT I HATE IT I HATE IT
hate,bIt is so annoying when she starts typing on her computer in the middle of the night
neutral,b i cant sleep
neutral,bI missed the bly bus
neutral,bfeels strong contractions but wants to go out  
neutral,bSoCal  stoked or maybe not tomorrow
neutral,bScrew you  I only have  weeks
sadness,b yeah S i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed S you
worry,bI need skott right now
neutral,bhas work this afternoon
neutral,b Aw you would not unfollow me would you Then I would cry
happiness,bmmm much better day so far its still quite early last day of uds
fun,b lt your gonna be the first  twitter  cause your amazing lol come to canada  would do anything to see you perform
worry,bjust picked up her Blackberry from the middle of the street Both she and it are crushed
worry,bWhy do I have the feeling I should be packing and hitting for SFO around this time of the year I think Im missing something
worry,bBed its time hope i go to school tomorrow all though i dont feel very well right now
worry,b Ahh   Well I was hoping that I could learn some stuff on the way  Why not you and I work on separate things but also
sadness,bIm having a problem with my photo here in twitter amfcant see my face
neutral,b oh noooo  if i blow a tire youre reaaaally going to have to send up some batman smoke
neutral,bwnna take a bath
neutral,bChocolate milk is so much better through a straw I lack said straw
worry,bwhy am i so tired
neutral,b time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in hrs
neutral,b  no way damn that sucks B  are you ok
worry,bsucks not being able to take days off of work or have the money to take the trip  so sad
enthusiasm,bbedsorta today was good sara has strep thought Angelina does to i shared a water with her B they told me i will prob get it to
neutral,b the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but well cope
neutral,b But I got dibs on Sulu
sadness,b Aww  Onward and upwards now yay Still sad to leave I bet
worry,b at once haha  poor aby still gets sore
sadness,bdiesel yaris mpg  so sad its not available in the US Thatd be awesome
